Canada - Alberta,"1403, 1587, 1780",0.0112
Canada - British Columbia,"1250, 1604, 1778",0.0112
Canada - Independent,"1249710, 1250622, 1250624, 1250627, 1519225, 1519229, 1519233, 1519236, 1519237, 1519238, 1519243, 1519263, 1519296, 1519327, 1519335, 1519349, 1519353, 1519361, 1519367, 1519368, 1519385, 1519386, 1519389, 1519392, 1519393, 1519395, 1519396, 1519424, 1519456, 1519468, 1519522, 1519529, 1519565, 1519592, 1519595, 1519596, 1519612, 1519665, 1519706, 1519708, 1519765, 1519773, 1519779, 1519786, 1519793, 1519795, 1519799, 1519828, 1519832, 1519839, 1519844, 1519847, 1519849, 1519866, 1519874, 1519899, 1613273, 1613279, 1613375, 1613538, 1613582, 1613587, 1613629, 1613638, 1613659, 1705221, 1705225, 1705231, 1705232, 1705235, 1705236, 1705237, 1705258, 1705262, 1705264, 1705266, 1705267, 1705268, 1705269, 1705271, 1705272, 1705273, 1705275, 1705278, 1705288, 1705295, 1705314, 1705332, 1705334, 1705335, 1705336, 1705337, 1705338, 1705339, 1705347, 1705360, 1705362, 1705363, 1705364, 1705365, 1705367, 1705369, 1705371, 1705372, 1705373, 1705374, 1705377, 1705399, 1705463, 1705465, 1705473, 1705531, 1705544, 1705545, 1705557, 1705563, 1705565, 1705567, 1705568, 1705569, 1705570, 1705579, 1705624, 1705628, 1705629, 1705630, 1705634, 1705638, 1705642, 1705643, 1705647, 1705648, 1705650, 1705658, 1705668, 1705672, 1705676, 1705678, 1705679, 1705686, 1705859, 1705892, 1705899, 1705932, 1705944, 1705948, 1705997, 1807216, 1807220, 1807221, 1807223, 1807251, 1807252, 1807285, 1807310, 1807333, 1807343, 1807344, 1807345, 1807346, 1807407, 1807444, 1807464, 1807465, 1807466, 1807467, 1807468, 1807472, 1807473, 1807474, 1807475, 1807476, 1807547, 1807577, 180762, 1807683, 1807684, 1807708, 1807766, 1807767, 1807768, 1807777, 1807935, 1807939, 1807957, 1807983",0.0112
Canada - Manitoba,1204,0.0112
Canada - New Brunswick,1506,0.0112
Canada - Newfoundland,1709,0.0112
Canada - Nova Scotia/p Edward Is,1902,0.0112
Canada - Ontario,"1226, 1289, 1416, 1519, 1613, 1647, 1705, 1807, 1905",0.0112
Canada - Quebec,"1418, 1438, 1450, 1514, 1581, 1819",0.0112
Canada - Saskatchewan,1306,0.0112
