Botswana,Botswana - Mobile (Mascom), 267746,0.0112
Botswana,Botswana - Mobile (Mascom), 267747,0.0112
Botswana,Botswana - Mobile (Mascom), 267754,0.0112
Botswana,Botswana - Mobile (Mascom), 267755,0.0112
Botswana,Botswana - Mobile (Mascom), 267756,0.0112
Botswana,Botswana - Mobile (Mascom), 267759,0.0112
Botswana,Botswana - Mobile (Mascom), 267760,0.0112
Botswana,Botswana - Mobile (Mascom), 267761,0.0112
Botswana,Botswana - Mobile (Mascom), 267762,0.0112
Botswana,Botswana - Mobile (Mascom), 267766,0.0112
Botswana,Botswana - Mobile (Mascom), 267767,0.0112
Botswana,Botswana - Mobile (Orange),26772,0.0112
Botswana,Botswana - Mobile (Orange), 267743,0.0112
Botswana,Botswana - Mobile (Orange), 267744,0.0112
Botswana,Botswana - Mobile (Orange), 267750,0.0112
Botswana,Botswana - Mobile (Orange), 267751,0.0112
Botswana,Botswana - Mobile (Orange), 267752,0.0112
Botswana,Botswana - Mobile (Orange), 267753,0.0112
Botswana,Botswana - Mobile (Orange), 267763,0.0112
Botswana,Botswana - Mobile (Orange), 267764,0.0112
Botswana,Botswana - Mobile (Orange), 267765,0.0112
Brazil,Brazil - Fixed,55,0.0112
Brazil,Brazil - Belem,5591,0.0112
Brazil,Brazil - Belo Horizonte,5531,0.0112
Brazil,Brazil - Brasilia,5561,0.0112
Brazil,Brazil - Campinas,55190,0.0112
Brazil,Brazil - Campinas, 55191,0.0112
Brazil,Brazil - Campinas, 55192,0.0112
Brazil,Brazil - Campinas, 55193,0.0112
Brazil,Brazil - Campinas, 55194,0.0112
Brazil,Brazil - Campinas, 55195,0.0112
Brazil,Brazil - Curitiba,5541,0.0112
Brazil,Brazil - Florianopolis,5548,0.0112
Brazil,Brazil - Fortaleza,5585,0.0112
Brazil,Brazil - Goiania,5562,0.0112
Brazil,Brazil - Governador Valadares Off Net,5533,0.0112
Brazil,Brazil - Governador Valadares On Net,553321,0.0112
Brazil,Brazil - Governador Valadares On Net, 553330,0.0112
Brazil,Brazil - Governador Valadares On Net, 553331,0.0112
Brazil,Brazil - Governador Valadares On Net, 5533320,0.0112
Brazil,Brazil - Governador Valadares On Net, 5533321,0.0112
Brazil,Brazil - Governador Valadares On Net, 5533322,0.0112
Brazil,Brazil - Governador Valadares On Net, 55333230,0.0112
Brazil,Brazil - Governador Valadares On Net, 55333231,0.0112
Brazil,Brazil - Governador Valadares On Net, 55333232,0.0112
Brazil,Brazil - Governador Valadares On Net, 55333233,0.0112
Brazil,Brazil - Governador Valadares On Net, 55333234,0.0112
Brazil,Brazil - Governador Valadares On Net, 55333236,0.0112
